Code;Name;Elong.rad;PhiGd.rad;height.m;x.m;y.m;z.m;PhiGc.rad;rho.m;CosPhiGc;SinPhiGc
109;Algiers-Kouba;0,0535903346824859;0,641112926742867;146,87560818943;5110535,99017531;274137,81870456;3793781,4534;0,637896520365225;6370675,58165404;0,80241;0,59481
110;Rostov;0,687921524673565;0,998139398804179;88,2547384806036;2676444,18902603;2199629,75181778;5337418,8962;0,995076211985864;6363156,84354598;0,54316;0,83683
111;Piazzano Observatory, Florence;0,19149927085807;0,762339694996833;95,4626143254995;4535802,37831979;879378,73784121;4382419,994;0,758985416572422;6368077,82486597;0,72439;0,6871
112;Pleiade Observatory, Verona;0,19030895630821;0,793841821548217;118,334981960276;4398621,7561914;847351,551898704;4525290,33;0,790483753699729;6367427,31229316;0,70232;0,7095
113;Volkssternwarte Drebach, Schoenbrunn;0,227182527415094;0,884475026082131;517,77703330847;3946174,77250205;912250,554558515;4911231,5814;0,881180415086335;6365900,72617887;0,63502;0,77001
114;Engelhardt Observatory, Zelenchukskaya Station;0,723049766528455;0,761935883732805;2050,00054057695;3466622,36029959;3059218,59817448;4381909,7428;0,758582769666012;6370040,97431024;0,72489;0,68702
115;Zelenchukskaya;0,723292367294482;0,761893401013803;2056,35463400495;3466023,52700802;3060186,15574799;4381718,3986;0,758540304637722;6370048,23547158;0,72492;0,68699
116;Giesing;0,202384889402758;0,839768981664877;510,237063427658;4179449,272892;857598,452745324;4725819,0516;0,836429449864632;6366838,85765096;0,66893;0,74094
117;Sendling;0,201384815741366;0,839725804115332;585,604651085038;4180554,81398506;853469,299285681;4725691,4888;0,83638628133877;6366915,14352702;0,66897;0,74092
118;Astronomical and Geophysical Observatory, Modra;0,3014881749895;0,844270581004881;554,959475081465;4053687,11100719;1260565,26543564;4744953,4716;0,840934390079768;6366787,84239098;0,66558;0,74394
119;Abastuman;0,747349985703972;0,728738218697355;1584,07340940503;3496154,43063918;3239742,09770758;4226283,1268;0,725403436374515;6370282,0762044;0,74731;0,66262
120;ViA!njan;0,239565638457994;0,790243786265006;236,696724807757;4367489,65867291;1066787,20403546;4509281,1986;0,786885540831363;6367622,61643669;0,70489;0,70699
121;Kharkov University, Chuguevskaya Station;0,644620429530361;0,866396024313034;168,076943302477;3308014,07127306;2486800,9305094;4837143,10716;0,863079867113447;6365931,9351426;0,648856;0,758394
122;Pises Observatory;0,0611476103436213;0,768634962118395;1282,13098595275;4584760,43104631;280697,076546429;4412142,1264;0,765279484137515;6369130,01927446;0,72017;0,69176
123;Byurakan;0,773035996305572;0,703982178871562;1493,11352221475;3485799,9439624;3400663,98918878;4107394,5972;0,700670764136261;6370714,81027061;0,76352;0,64398
124;Castres;0,0393571746324721;0,760972255078237;166,840876866512;4622737,47481256;182031,884136026;4376169,4168;0,757618480906322;6368178,3998577;0,72534;0,68612
125;Tbilisi;0,781724245322;0,728104571934746;413,728754480626;3384032,8621922;3359258,45088334;4222494,51164;0,724769674662066;6369125,18742235;0,747594;0,662026
126;Monte Viseggi;0,170872969758001;0,770269063818456;349,401238137539;4518657,10874667;779719,81375948;4418966,7362;0,766912707627898;6368162,37780083;0,71893;0,69283
127;Bornheim;0,121818745801448;0,885932416796331;88,2349232077097;4012824,04945076;491269,716289066;4916780,5632;0,882639494162402;6365440,58904444;0,63385;0,77088
128;Saratov;0,802966822180948;0,899513352750281;79,6628772848398;2761187,67667524;2859953,75429805;4971077,66902;0,896239576287645;6365147,76371892;0,623279;0,779393
129;Ordubad;0,801455192515796;0,683028008772127;2457,85511241619;3447572,42207848;3560104,56703035;4005471,92;0,679743245348012;6372119,38334295;0,777;0,628
130;Lumezzane;0,178715257685987;0,797004989242797;834,466405240361;4394485,80063966;793831,141468563;4539902,64874;0,793647653648024;6368075,79989634;0,700143;0,711791
131;Observatoire de lArdeche;0,0824668071567321;0,779761326475558;353,298812174082;4527709,40928745;374234,485021494;4462146,744;0,776403434663327;6367963,37220301;0,7123;0,6996
132;Bedoin;0,0915617178888745;0,769922332057931;518,501974670413;4567879,87222248;419415,647567703;4417499,764;0,766566144053743;6368338,88682284;0,71919;0,6926
133;Les Tardieux;0,0888477309020233;0,756804484452212;58,2504411760488;4626178,17722355;412110,393624072;4356843,6526;0,753452230061655;6368158,76978215;0,72819;0,68309
134;Groszschwabhausen;0,200406558695623;0,888868852981981;417,333064039966;3947850,81147773;801940,10205885;4928854,38222;0,885580035261912;6365708,08929414;0,631607;0,772773
135;Kasan;0,857323181872135;0,973714054511785;77,5908661745804;2352321,48539364;2717606,24657841;5251377,7876;0,970587205980906;6363628,58361369;0,56353;0,82334
136;Engelhardt Observatory, Kasan;0,851992946336544;0,974576541267387;118,457554129477;2363791,54805022;2701621,16551904;5254503,0762;0,971451833879412;6363652,2518448;0,56282;0,82383
137;Givatayim Observatory;0,60763114309407;0,559723112875401;56,4154867076245;4441626,66846038;3088701,27693407;3367020,106;0,556705454572831;6372201,14515548;0,84821;0,5279
138;Village-Neuf;0,132151094973255;0,830861552981194;249,066620352299;4270867,23688041;567708,439292953;4687550,2116;0,82751611845551;6366767,37547196;0,6755;0,73494
139;Antibes;0,124106872450813;0,761071065026079;61,2772648639271;4590230,96420867;572622,172747908;4376552,1052;0,757717200697593;6368070,72723232;0,72526;0,68618
140;Augerolles;0,0633449798718822;0,797934630083304;572,17682798324;4452242,56009846;282405,041319475;4543850,7174;0,794577285980974;6367793,63385241;0,69945;0,71241
141;Hottviller;0,128581896652926;0,85638095205984;284,366460139233;4152429,02541718;536889,317715635;4795659,6846;0,853054887524579;6366260,18641258;0,65646;0,75189
142;Sinsen;0,12544379465784;0,901704573885552;52,6243878785415;3933245,4187835;496005,703498908;4979732,805;0,898434100552327;6365075,01852712;0,62156;0,78075
143;Gnosca;0,157499558897519;0,806890428646631;261,709031146819;4365253,92637842;693267,493754244;4583267,6226;0,803534765731565;6367291,71312513;0,692986;0,71859
144;Bray et Lu;0,0290771853382255;0,85763255724818;42,5602131160587;4179039,71311652;121548,970055851;4800698,4152;0,854307539140529;6365991,85906096;0,65549;0,75268
145;s-Gravenwezel;0,0795817779031855;0,894307170289417;30,3731217148101;3988598,51719136;318091,563830898;4950329,5796;0,891025740251744;6365207,24886348;0,62734;0,77614
146;Frignano;0,186179507297991;0,77297708464784;1284,5838658444;4495036,54428532;846689,246650324;4431978,1418;0,769620659359328;6369039,68147842;0,71715;0,69487
147;Osservatorio Astronomico di Suno;0,149642959269667;0,796520125796175;294,216798864369;4417514,13884375;666028,790241781;4537357,77088;0,793162442266373;6367545,92109711;0,70043;0,711392
148;Guitalens;0,0355610835093845;0,761737507014093;139,915914812219;4620016,89827233;164362,096166535;4379677,3938;0,758383454419778;6368135,13618711;0,72481;0,68667
149;Beine-Nauroy;0,0737157262872325;0,859575974095565;136,764434368156;4160166,06670653;307226,354973158;4808862,4344;0,856252867509065;6366044,89842399;0,65403;0,75396
150;Maisons Laffitte;0,0376502426240217;0,854226627605879;46,5487781619546;4194224,30958307;157988,221512809;4786475,163;0,850898469083147;6366068,04261864;0,65806;0,75045
151;Eschenberg Observatory, Winterthur;0,152611589794384;0,828612997205285;561,542441170713;4269012,29870606;656606,204111176;4678110,5644;0,825266439372719;6367127,77997519;0,67719;0,73346
152;Moletai Astronomical Observatory;0,446163752675066;0,965447008326152;208,319656931966;3281724,92545083;1569755,32175686;5221655,6552;0,962300368266313;6363924,73541221;0,57036;0,81868
153;Stuttgart-Hoffeld;0,160128722882724;0,8506398934658;455,881221297188;4160755,59508703;672010,038462387;4771741,6596;0,847308806981259;6366553,46948444;0,6608;0,74814
154;Cortina;0,21125988864915;0,812313846978985;1792,79920099362;4298271,25157629;921806,925448417;4608206,15;0,808960631232101;6368706,9080646;0,68923;0,7225
155;Ole Romer Observatory, Aarhus;0,177972969155114;0,979612188694277;59,1956143833751;3506803,68283694;630790,333350699;5272425,6496;0,976500022293622;6363492,81017645;0,55864;0,82664
156;Catania Astrophysical Observatory;0,263296880297361;0,654558023879335;58,2193678421559;4891624,06027102;1318560,96793259;3861899,9886;0,651316781966978;6370310,86330379;0,79431;0,60549
157;Frasso Sabino;0,223606347777758;0,737009501908912;487,286977949934;4612643,43225145;1048957,45928491;4264679,5296;0,733668138121717;6369009,55209452;0,74166;0,66864
158;Promiod;0,132702619016885;0,799108291772235;1482,15840419864;4417288,56217568;589651,08039605;4549718,6062;0,795751607779404;6368678,51549619;0,69871;0,71333
159;Monte Agliale;0,18352660683496;0,767861439586726;780,217635084216;4519215,50016698;838835,390788206;4408251,461;0,764505892712377;6368644,63549324;0,72065;0,69115
160;Castelmartini;0,189218823657414;0,764856645188635;79,925528881116;4526902,34234773;866946,567018069;4393983,56182;0,761501565186971;6368008,53554407;0,722651;0,688913
161;Cerrina Tololo Observatory;0,142427593608997;0,786929119414273;349,801948135802;4465263,20661406;640312,270417462;4494483,9138;0,783570866434131;6367806,60505605;0,70725;0,70467
162;Potenza;0,275421682610965;0,709476426065184;817,997888875719;4663954,81118764;1318051,91920649;4133544,9712;0,706158761029397;6369923,81206063;0,75988;0,64808
